WorkerId,annotator_mean,annotator_std,annotations
A1037WWQHXLFA0,0.7239583333333334,0.3691550996378792,48
A11BS3GFM9T4FJ,0.7322485207100592,0.3675590781970438,169
A13EXIOBU0UVX4,0.6153846153846154,0.3301126458867624,52
A13S25IYJL6AZ9,0.6410256410256411,0.420662352861187,39
A13XNZBCRSEGGY,0.4338235294117647,0.44456049662996494,272
A15ERD4HOFEPHM,0.625,0.2886751345948128,16
A1AMGHYG5PT0L2,0.7962328767123288,0.32163834994143153,146
A1CN4UXQNL22OO,0.7546875,0.32026899439937195,160
A1KOG5Q6XX0DPU,0.5240566037735849,0.37181102356390994,530
A1NF6PELRKACS9,0.8216019417475728,0.3172393984022952,206
A1OPJ5I9BF44QH,0.5512820512820513,0.40221216898534046,39
A1PBRKFHSF1OF8,0.425,0.4450014784126831,20
A1YIGXBU6FQQ6C,0.7211538461538461,0.43344789064717526,52
A1YWZXJAPULFVR,0.4,0.5477225575051661,5
A26Z3YPJ8RYJQJ,0.8983739837398373,0.17775177933092884,123
A29RH02TXLXLSI,0.6663934426229509,0.3951908469839009,610
A29UN4GHR6J0WS,0.6666666666666666,0.39791121287711073,21
A2H1RXUC8XNNIW,0.5576923076923077,0.3501373356929447,65
A2HM35CWB7IIFM,0.6591386554621849,0.3292982869478978,476
A2NJK5F728GAQX,0.7682926829268293,0.35964498077287543,41
A2SDOD67560IN8,0.5725806451612904,0.4434408471783317,31
A2U4H12NH6Z4QL,0.7534722222222222,0.28982669908736153,216
A3AT4BYGP2MWOH,0.5454545454545454,0.4446653491416581,11
A3DU10US4YRB8E,0.7620481927710844,0.39219444852523244,83
A3LCGX74R6XR5I,0.3,0.4377975178854566,10
A3MV3PT4TOO69P,0.5714285714285714,0.472455591261534,7
A3QO8R7Z93A87K,0.4957627118644068,0.35200021252849445,59
A3RR91G2KJO9NI,0.6590909090909091,0.43693144875265144,11
A45G52Z5J7195,0.6875,0.4732423621500228,4
A7R4F8BRS8ET0,0.8066528066528067,0.2516351153733939,481
AC95JAUAM2L2Z,0.678030303030303,0.38399554584316253,132
AEN3K2PLE658P,0.5,0.4,51
AJKA9BKC011F2,0.7083333333333334,0.3679900360969936,6
AKF6C62Q8UW2B,0.5795454545454546,0.4110552885153653,22
AL0OO84JETD31,0.7666666666666667,0.2844192485453287,165
ARFDXQ5RCR74G,0.6219081272084805,0.4212619070914655,283
AVEHD2Q2W1FCV,0.7599009900990099,0.2935148890584767,101
